rank,name,combined_score,systems_score,security_score,current_affiliation,manual_lookup_needed
1,Jiwu Shu,29,0,0,,YES
2,Prateek Mittal,27,0,0,,YES
3,Youngjin Kwon,27,0,0,,YES
4,Kaveh Razavi,24,0,0,,YES
5,Youyou Lu,24,0,0,,YES
6,Kang Chen,23,0,0,,YES
7,Yinqian Zhang,22,0,0,,YES
8,Diyu Zhou,22,0,0,,YES
9,Juraj Somorovsky,21,0,0,,YES
10,Yajin Zhou,21,0,0,,YES
11,Henry Corrigan-Gibbs,21,0,0,,YES
12,Sebastian Angel,21,0,0,,YES
13,Taesoo Kim,20,0,0,,YES
14,Lingxiao Ma,20,0,0,,YES
15,Yinzhi Cao,19,0,0,,YES
16,Yan Shoshitaishvili,19,0,0,,YES
17,Andreas Kogler,18,0,0,,YES
18,Emma Dauterman,18,0,0,,YES
19,Marcel Busch,18,0,0,,YES
20,Sisi Duan,18,0,0,,YES
21,Lukas Maar,17,0,0,,YES
22,Aishwarya Ganesan,17,0,0,,YES
23,Ramnatthan Alagappan,17,0,0,,YES
24,Zhihao Jia,17,0,0,,YES
25,Adam J. Aviv,16,0,0,,YES
26,Athina Markopoulou,16,0,0,,YES
27,Nick Nikiforakis,16,0,0,,YES
28,Marius Muench,16,0,0,,YES
29,Robert Merget,16,0,0,,YES
30,Tiffany Bao,16,0,0,,YES
31,Surya Nepal,15,0,0,,YES
32,Hyoungshick Kim,15,0,0,,YES
33,Asaf Cidon,15,0,0,,YES
34,Wen Xia,15,0,0,,YES
35,Marcel Maehren,15,0,0,,YES
36,Pengfei Zuo,15,0,0,,YES
37,Philipp Mao,15,0,0,,YES
38,Yubin Xia,15,0,0,,YES
39,Hongxin Hu,14,0,0,,YES
40,Thang Hoang,14,0,0,,YES
41,Tobias Scharnowski,14,0,0,,YES
42,Xingliang Yuan,14,0,0,,YES
43,Chris Hawblitzel,14,0,0,,YES
44,Jilong Xue,14,0,0,,YES
45,Xiaojing Liao,14,0,0,,YES
46,Haixin Duan,13,0,0,,YES
47,Micah Sherr,13,0,0,,YES
48,Binyu Zang,13,0,0,,YES
49,Changwoo Min,13,0,0,,YES
50,Emmett Witchel,13,0,0,,YES
51,Flavio Toffalini,13,0,0,,YES
52,Haibing Guan,13,0,0,,YES
53,Heming Cui,13,0,0,,YES
54,Luyi Xing,13,0,0,,YES
55,Tej Chajed,13,0,0,,YES
56,Zhenhua Han,13,0,0,,YES
57,Bo-Yin Yang,12,0,0,,YES
58,Baris Kasikci,12,0,0,,YES
59,Brendan Saltaformaggio,12,0,0,,YES
60,Anwar Hithnawi,12,0,0,,YES
61,Jidong Zhai,12,0,0,,YES
62,Jon Howell,12,0,0,,YES
63,Kyle Zeng,12,0,0,,YES
64,Matteo Maffei,12,0,0,,YES
65,Mingxing Zhang,12,0,0,,YES
66,Ningxin Zheng,12,0,0,,YES
67,Nurullah Erinola,12,0,0,,YES
68,Thorsten Eisenhofer,12,0,0,,YES
69,Mohamed Sabt,11,0,0,,YES
70,Hao Huang,11,0,0,,YES
71,Hyungjoon Koo,11,0,0,,YES
72,Marco Canini,11,0,0,,YES
73,Rahmadi Trimananda,11,0,0,,YES
74,Sooel Son,11,0,0,,YES
75,Anurag Khandelwal,11,0,0,,YES
76,Athanasios Xygkis,11,0,0,,YES
77,Cong Zhang,11,0,0,,YES
78,Jonas Juffinger,11,0,0,,YES
79,Manos Kapritsos,11,0,0,,YES
80,Mathias Lcuyer,11,0,0,,YES
81,Martin Schwarzl,10,0,0,,YES
82,Derui Wang,10,0,0,,YES
83,Erik van der Kouwe,10,0,0,,YES
84,Jiesheng Wu,10,0,0,,YES
85,Jonathan Mace,10,0,0,,YES
86,Junzhou Luo,10,0,0,,YES
87,Mayank Varia,10,0,0,,YES
88,Saeed Mahloujifar,10,0,0,,YES
89,Sang Kil Cha,10,0,0,,YES
90,Sishuai Gong,10,0,0,,YES
91,Xinwen Fu,10,0,0,,YES
92,Yingdi Shan,10,0,0,,YES
93,Yujie Ren,10,0,0,,YES
94,Matthias J. Kannwischer,9,0,0,,YES
95,Saba Eskandarian,9,0,0,,YES
96,Alexander Heinrich,9,0,0,,YES
97,Dave Levin,9,0,0,,YES
98,Jiaheng Zhang,9,0,0,,YES
99,Jinwen Wang,9,0,0,,YES
100,Kaitai Liang,9,0,0,,YES
